date,number,,,
2020-03-16,90,,,
2020-03-17,113,,,
2020-03-18,102,,,
2020-03-19,165,,,
2020-03-20,100,,,
2020-03-21,153,,,
2020-03-22,103,,,
2020-03-23,65,,,
2020-03-24,71,,,
2020-03-25,86,,,
2020-03-26,88,,,
2020-03-27,89,,,
2020-03-28,142,,,
2020-03-29,97,,,
2020-03-30,78,,,
2020-03-31,123,,,
2020-04-01,94,,,
2020-04-02,72,,,
2020-04-03,65,,,
2020-04-04,80,,,
2020-04-05,57,,,
2020-04-06,41,,,
2020-04-07,34,,,
2020-04-08,39,,,
2020-04-09,29,,,
2020-04-10,23,,,
2020-04-11,24,,,
2020-04-12,14,,,
2020-04-13,19,,,
2020-04-14,20,,,
2020-04-15,22,,,
2020-04-16,18,,,
2020-04-17,9,,,
2020-04-18,14,,,
2020-04-19,6,,,
2020-04-20,9,,,
2020-04-21,6,,,
2020-04-22,9,,,
2020-04-23,6,,,
2020-04-24,5,,,
2020-04-25,6,,,
2020-04-26,9,,,
2020-04-27,5,,,
2020-04-28,11,,,
2020-04-29,6,,,
2020-04-30,0,,,
2020-05-01,5,,,
2020-05-02,3,,,
2020-05-03,8,,,
2020-05-04,4,,,
2020-05-05,1,,,
2020-05-06,0,,,
2020-05-07,3,,,
2020-05-08,9,,,
2020-05-09,18,,,
2020-05-10,28,,,
2020-05-11,32,,,
2020-05-12,26,,,
2020-05-13,25,,,
2020-05-14,29,,,
2020-05-15,26,,,
2020-05-16,11,,,
2020-05-17,9,,,
2020-05-18,8,,,
2020-05-19,13,,,
2020-05-20,30,,,
2020-05-21,11,,,
2020-05-22,13,,,
2020-05-23,20,,,
2020-05-24,21,,,
2020-05-25,15,,,
2020-05-26,17,,,
2020-05-27,39,,,
2020-05-28,72,,,
2020-05-29,58,,,
2020-05-30,32,,,
2020-06-01,33,,,
2020-06-02,37,,,
2020-06-03,49,,,
2020-06-04,37,,,
2020-06-05,38,,,
2020-06-06,46,,,
2020-06-07,55,,,
2020-06-08,35,,,
2020-06-09,38,,,
2020-06-10,44,,,
2020-06-11,43,,,
2020-06-12,46,,,
2020-06-13,48,,,
2020-06-14,33,,,
2020-06-15,30,,,
2020-06-16,25,,,
2020-06-17,36,,,
2020-06-18,55,,,
2020-06-19,38,,,
2020-06-20,49,,,
2020-06-21,44,,,
2020-06-22,17,,,
2020-06-23,20,,,
2020-06-24,39,,,
2020-06-25,24,,,
2020-06-26,32,,,
2020-06-27,40,,,
2020-06-28,46,,,
2020-06-29,37,,,
2020-06-30,30,,,
2020-07-01,46,,,
2020-07-02,52,,,
2020-07-03,57,,,
2020-07-04,45,,,
2020-07-05,52,,,
2020-07-06,33,,,
2020-07-07,28,,,
2020-07-08,51,,,
2020-07-09,45,,,
2020-07-10,41,,,
2020-07-11,27,,,
2020-07-12,32,,,
2020-07-13,44,,,
2020-07-14,21,,,
2020-07-15,16,,,
2020-07-16,41,,,
2020-07-17,35,,,
2020-07-18,27,,,
2020-07-19,27,,,
2020-07-20,16,,,
2020-07-21,27,,,
2020-07-22,44,,,
2020-07-23,54,,,
2020-07-24,38,,,
2020-07-25,32,,,
2020-07-26,16,,,
2020-07-27,18,,,
2020-07-28,18,,,
2020-07-29,27,,,
2020-07-30,10,,,
2020-08-01,12,,,
2020-08-02,13,,,
2020-08-03,9,,,
2020-08-04,27,,,
2020-08-05,27,,,
2020-08-06,37,,,
2020-08-07,15,,,
2020-08-08,38,,,
2020-08-09,35,,,
2020-08-10,22,,,
2020-08-11,31,,,
2020-08-12,46,,,
2020-08-13,53,,,
2020-08-14,96,,,
2020-08-15,164,,,
2020-08-16,279,,,
2020-08-17,195,,,
2020-08-18,240,,,
2020-08-19,295,,,
2020-08-20,286,,,
2020-08-21,321,,,
2020-08-22,328,,,
2020-08-23,393,,,
2020-08-24,262,,,
2020-08-25,277,,,
2020-08-26,317,,,
2020-08-27,438,,,
2020-08-28,363,,,
2020-08-29,318,,,
2020-08-30,292,,,
2020-09-01,231,,,
2020-09-02,264,,,
2020-09-03,192,,,
2020-09-04,194,,,
2020-09-05,164,,,
2020-09-06,163,,,
2020-09-07,115,,,
2020-09-08,132,,,
2020-09-09,152,,,
2020-09-10,151,,,
2020-09-11,167,,,
2020-09-12,126,,,
2020-09-13,114,,,
2020-09-14,104,,,
2020-09-15,101,,,
2020-09-16,111,,,
2020-09-17,151,,,
2020-09-18,124,,,
2020-09-19,109,,,
2020-09-20,76,,,
2020-09-21,60,,,
2020-09-22,59,,,
2020-09-23,104,,,
2020-09-24,120,,,
2020-09-25,108,,,
2020-09-26,52,,,
2020-09-27,84,,,
2020-09-28,43,,,
2020-09-29,29,,,
2020-09-30,108,,,
2020-10-01,71,,,
2020-10-02,57,,,
2020-10-03,61,,,
2020-10-04,55,,,
2020-10-05,71,,,
2020-10-06,70,,,
2020-10-07,107,,,
2020-10-08,66,,,
2020-10-09,48,,,
2020-10-10,67,,,
2020-10-11,55,,,
2020-10-12,89,,,
2020-10-13,81,,,
2020-10-14,70,,,
2020-10-15,104,,,
2020-10-16,44,,,
2020-10-17,68,,,
2020-10-18,78,,,
2020-10-19,64,,,
2020-10-20,55,,,
2020-10-21,69,,,
2020-10-22,112,,,
2020-10-23,147,,,
2020-10-24,71,,,
2020-10-25,52,,,
2020-10-26,102,,,
2020-10-27,83,,,
2020-10-28,101,,,
2020-10-29,116,,,
2020-10-30,110,,,
2020-11-01,110,,,
2020-11-02,90,,,
2020-11-03,63,,,
2020-11-04,107,,,
2020-11-05,119,,,
2020-11-06,134,,,
2020-11-07,81,,,
2020-11-08,129,,,
2020-11-09,115,,,
2020-11-10,92,,,
2020-11-11,138,,,
2020-11-12,134,,,
2020-11-13,177,,,
2020-11-14,184,,,
2020-11-15,190,,,
2020-11-16,200,,,
2020-11-17,222,,,
2020-11-18,263,,,
2020-11-19,304,,,
2020-11-20,340,,,
2020-11-21,377,,,
2020-11-22,310,,,
2020-11-23,266,,,
2020-11-24,339,,,
2020-11-25,375,,,
2020-11-26,571,,,
2020-11-27,538,,,
2020-11-28,501,,,
2020-11-29,433,,,
2020-11-30,428,,,
2020-12-01,437,,,
2020-12-02,505,,,
2020-12-03,527,,,
2020-12-04,611,,,
2020-12-05,571,,,
2020-12-06,619,,,
2020-12-07,605,,,
2020-12-08,587,,,
2020-12-09,677,,,
2020-12-10,666,,,
2020-12-11,682,,,
2020-12-12,938,,,
2020-12-13,1016,,,
2020-12-14,701,,,
2020-12-15,872,,,
2020-12-16,1078,,,
2020-12-17,1014,,,
2020-12-18,1062,,,
2020-12-19,1053,,,
2020-12-20,1097,,,
2020-12-21,926,,,
2020-12-22,869,,,
2020-12-23,1092,,,
